red_odds,blue_odds,red_winner,odds_diff,age_diff,reach_diff,height_diff,wins_diff,losses_diff,rounds_diff,title_bout_diff,ko_diff,submission_diff,win_streak_diff,lose_streak_diff,longest_win_streak_diff,sig_str_diff,sub_att_diff,td_diff,rank_diff,title_bout,gender,number_of_rounds,blue_current_lose_streak,blue_current_win_streak,blue_longest_win_streak,blue_total_rounds_fought,blue_total_title_bouts,blue_stance,blue_height_cms,blue_reach_cms,red_current_lose_streak,red_current_win_streak,red_longest_win_streak,red_total_rounds_fought,red_total_title_bouts,red_stance,red_height_cms,red_reach_cms,red_age,blue_age,b_match_wc_rank,r_match_wc_rank,weight_class_Bantamweight,weight_class_Catch Weight,weight_class_Featherweight,weight_class_Flyweight,weight_class_Heavyweight,weight_class_Light Heavyweight,weight_class_Lightweight,weight_class_Middleweight,weight_class_Welterweight,weight_class_Women's Bantamweight,weight_class_Women's Featherweight,weight_class_Women's Flyweight,weight_class_Women's Strawweight,red_implied_prob,blue_implied_prob,prob_diff,red_win_pct,blue_win_pct,win_pct_diff,red_ko_rate,blue_ko_rate,red_sub_rate,blue_sub_rate,red_finish_rate,blue_finish_rate,red_experience,blue_experience,red_round_per_fight,blue_round_per_fight,red_reach_per_height,blue_reach_per_height,red_days_since_last,blue_days_since_last,red_debut,blue_debut,activity_diff,red_elo,blue_elo,elo_diff
140,-160,0,300,-2,10.16,10.16,1,2,1,0,0,2,0,0,0,16.0,-0.6667,0.8333,0,0,1,3,1,0,2,8,0,0.0,180.34,180.34,1,0,2,9,0,0.0,190.5,190.5,32,34,20,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.6153846153846154,-0.1987179487179487,0.5,0.6666666666666666,-0.1666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.0,1.0,0.5,6,3,1.5,2.6666666666666665,1.0,1.0,,,1,1,,1500.0,1500.0,0.0
-420,335,1,-755,-5,-7.61999999999998,-10.16,1,1,6,0,0,0,0,1,1,-40.5,0.0,-3.5,0,0,1,3,0,0,0,0,0,0.0,182.88,185.42,1,0,1,6,0,0.0,172.72,177.8,29,34,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8076923076923077,0.2298850574712643,0.5778072502210434,0.5,,,0.0,,0.0,,0.0,,2,0,3.0,,1.0294117647058825,1.0138888888888888,,,1,1,,1500.0,1500.0,0.0
-260,220,1,-480,0,2.12,2.53999999999999,0,0,0,1,0,0,0,0,0,-4.0,1.0,1.0,0,0,1,3,1,0,0,1,0,0.0,190.5,196.0,1,0,0,1,1,0.0,193.04,198.12,27,27,20,20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7222222222222222,0.3125,0.4097222222222222,0.0,0.0,0.0,,,,,,,1,1,1.0,1.0,1.0263157894736843,1.0288713910761156,,,1,1,,1500.0,1500.0,0.0
-210,175,1,-385,-2,-7.62,-7.62,3,0,9,0,1,0,3,0,3,-18.0,-1.0,-4.6667,0,0,1,3,0,0,0,0,0,1.0,177.8,187.96,0,3,3,9,0,0.0,170.18,180.34,27,29,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6774193548387096,0.3636363636363636,0.313782991202346,1.0,,,0.3333333333333333,,0.0,,0.3333333333333333,,3,0,3.0,,1.0597014925373134,1.0571428571428572,,,1,1,,1500.0,1500.0,0.0
-155,135,0,-290,6,-2.53999999999999,0.0,2,1,5,0,1,0,0,1,2,-13.6667,0.0,0.0,0,0,1,3,0,0,0,0,0,0.0,177.8,180.34,1,0,2,5,0,0.0,177.8,177.8,31,25,20,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6078431372549019,0.425531914893617,0.1823112223612848,0.6666666666666666,,,0.5,,0.0,,0.5,,3,0,1.6666666666666667,,1.0,1.0142857142857142,,,1,1,,1500.0,1500.0,0.0
145,-165,0,310,-10,7.62,5.08000000000001,-1,-2,-9,-1,-1,1,2,0,1,-4.8333,-0.5,2.1667,0,0,1,3,0,1,2,16,1,0.0,182.88,187.96,0,3,3,7,0,0.0,187.96,195.58,29,39,20,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4081632653061224,0.6226415094339622,-0.2144782441278397,1.0,0.6666666666666666,0.3333333333333333,0.0,0.25,0.3333333333333333,0.0,0.3333333333333333,0.25,3,6,2.333333333333333,2.6666666666666665,1.0405405405405406,1.027777777777778,,,1,1,,1500.0,1500.0,0.0
-420,335,1,-755,0,-2.53999999999999,-7.62,3,3,19,0,1,-1,0,1,2,-22.35,0.65,-2.15,0,0,1,3,1,0,1,7,0,0.0,177.8,180.34,2,0,3,26,0,0.0,170.18,177.8,28,28,20,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8076923076923077,0.2298850574712643,0.5778072502210434,0.5,0.5,0.0,0.2,0.0,0.2,1.0,0.4,1.0,10,4,2.6,1.75,1.0447761194029852,1.0142857142857142,,,1,1,,1500.0,1500.0,0.0
-120,100,1,-220,-3,-7.62,-5.08000000000001,1,1,5,0,0,0,2,-1,0,-15.55,0.125,-1.0,0,0,1,3,1,0,2,10,0,0.0,187.96,190.5,0,2,2,15,0,0.0,182.88,182.88,28,31,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.5,0.0454545454545454,0.5,0.5,0.0,0.6,0.75,0.0,0.0,0.6,0.75,10,8,1.5,1.25,1.0,1.0135135135135134,,,1,1,,1500.0,1500.0,0.0
-345,315,1,-660,-2,12.7,5.07999999999998,4,2,14,-1,2,-1,0,1,1,-7.1091,0.1273,-0.9818,0,0,1,3,1,0,2,8,1,0.0,187.96,195.58,2,0,3,22,0,0.0,193.04,208.28,34,36,20,20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7752808988764045,0.2409638554216867,0.5343170434547178,0.6363636363636364,0.6,0.0363636363636363,0.5714285714285714,0.6666666666666666,0.0,0.3333333333333333,0.5714285714285714,1.0,11,5,2.0,1.6,1.0789473684210529,1.0405405405405406,,,1,1,,1500.0,1500.0,0.0
-250,230,1,-480,-4,2.54000000000002,5.07999999999998,-3,-3,-10,-1,-1,-2,3,0,0,-12.05,0.7,1.2,0,0,1,3,0,1,4,16,1,0.0,187.96,193.04,0,4,4,6,0,0.0,193.04,195.58,26,30,20,20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.303030303030303,0.4112554112554112,1.0,0.7,0.3,1.0,0.7142857142857143,0.0,0.2857142857142857,1.0,1.0,4,10,1.5,1.6,1.0131578947368425,1.027027027027027,,,1,1,,1500.0,1500.0,0.0
